image_id,source,pid,prolificId,condition,word,week,trialIndex,image_path,description,visible_text,recognizability,description_model,is_valid_image,width,height,embedding_row,generated_at
human__P005_week1_0,participant,P005,5eaf3e142627076426921b1b,draw-ai-fewer,protection,week1,0,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/5eaf3e142627076426921b1b/metaphor/0_protection.png,A person hangs upside down from a horizontal bar with one arm extended upward and the other body parts bent below the bar.,,uncertain,gpt-5.4-mini-2026-03-17,True,2000,2000,,2026-08-19T20:02:26.275165+00:00
human__P005_week1_1,participant,P005,5eaf3e142627076426921b1b,draw-ai-fewer,aversion,week1,1,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/5eaf3e142627076426921b1b/metaphor/1_aversion.png,A person with a long neck and two eyes faces right while a large arrow points across the top from left to right.,,clear,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:02:27.533974+00:00
human__P005_week1_2,participant,P005,5eaf3e142627076426921b1b,draw-ai-fewer,journey,week1,2,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/5eaf3e142627076426921b1b/metaphor/2_journey.png,"Six human footprints arranged in two columns, each with small toe marks above the heel area.",,clear,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:02:28.753473+00:00
human__P005_week1_3,participant,P005,5eaf3e142627076426921b1b,draw-ai-fewer,accident,week1,3,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/5eaf3e142627076426921b1b/metaphor/3_accident.png,A long rocket or missile is angled upward with fins and circular windows or markings along its body.,,uncertain,gpt-5.4-mini-2026-03-17,True,2000,2000,,2026-08-19T20:02:29.954880+00:00
human__P005_week1_5,participant,P005,5eaf3e142627076426921b1b,draw-ai-fewer,magic,week1,5,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/5eaf3e142627076426921b1b/metaphor/5_magic.png,A rabbit stands inside a top hat with a wand beside it.,,clear,gpt-5.4-mini-2026-03-17,True,2000,2000,,2026-08-19T20:02:32.059329+00:00
human__P005_week1_6,participant,P005,5eaf3e142627076426921b1b,draw-ai-fewer,vision,week1,6,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/5eaf3e142627076426921b1b/metaphor/6_vision.png,A large eye with eyelashes is shown close up.,,clear,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:02:33.544527+00:00
human__P005_week2_0,participant,P005,5eaf3e142627076426921b1b,draw-ai-fewer,protection,week2,0,/Users/fm/Documents/Github/figcreativity/scripts/data/week2/images/5eaf3e142627076426921b1b/metaphor/0_protection.png,A person wearing a shirt with a cross emblem on the chest raises one arm outward.,,clear,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:26:42.933845+00:00
human__P005_week2_1,participant,P005,5eaf3e142627076426921b1b,draw-ai-fewer,aversion,week2,1,/Users/fm/Documents/Github/figcreativity/scripts/data/week2/images/5eaf3e142627076426921b1b/metaphor/1_aversion.png,"A person stands on a narrow ledge or bridge beside a long horizontal railing or beam, with another similar ledge crossing below.",,uncertain,gpt-5.4-mini-2026-03-17,True,2000,2000,,2026-08-19T20:26:43.966993+00:00
human__P005_week2_2,participant,P005,5eaf3e142627076426921b1b,draw-ai-fewer,journey,week2,2,/Users/fm/Documents/Github/figcreativity/scripts/data/week2/images/5eaf3e142627076426921b1b/metaphor/2_journey.png,A skier descends a slope while another person stands at the right edge watching.,,uncertain,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:26:45.585688+00:00
human__P005_week2_3,participant,P005,5eaf3e142627076426921b1b,draw-ai-fewer,accident,week2,3,/Users/fm/Documents/Github/figcreativity/scripts/data/week2/images/5eaf3e142627076426921b1b/metaphor/3_accident.png,"A large round wheel or ball sits beside a small vehicle or machine on the right, with several crossing lines over the center.",,uncertain,gpt-5.4-mini-2026-03-17,True,2000,2000,,2026-08-19T20:26:46.733602+00:00
human__P005_week2_5,participant,P005,5eaf3e142627076426921b1b,draw-ai-fewer,magic,week2,5,/Users/fm/Documents/Github/figcreativity/scripts/data/week2/images/5eaf3e142627076426921b1b/metaphor/5_magic.png,A radio tower stands in the center with radiating signal lines around it.,,uncertain,gpt-5.4-mini-2026-03-17,True,1500,1500,,2026-08-19T20:26:47.850561+00:00
human__P005_week2_6,participant,P005,5eaf3e142627076426921b1b,draw-ai-fewer,vision,week2,6,/Users/fm/Documents/Github/figcreativity/scripts/data/week2/images/5eaf3e142627076426921b1b/metaphor/6_vision.png,"A large face with two eyes is shown below a horizontal line, with two small floating shapes above it.",,uncertain,gpt-5.4-mini-2026-03-17,True,2000,2000,,2026-08-19T20:26:48.799336+00:00
human__P006_week1_0,participant,P006,5ece74b876016723f3aa9b13,draw-ai-many,energy,week1,0,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/5ece74b876016723f3aa9b13/metaphor/0_energy.png,No recognizable object or scene; only several looping and curved scribble lines.,,none,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:03:07.399674+00:00
human__P006_week1_1,participant,P006,5ece74b876016723f3aa9b13,draw-ai-many,servant,week1,1,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/5ece74b876016723f3aa9b13/metaphor/1_servant.png,A handwritten lowercase letter g.,,clear,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:03:08.195380+00:00
human__P006_week1_2,participant,P006,5ece74b876016723f3aa9b13,draw-ai-many,magic,week1,2,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/5ece74b876016723f3aa9b13/metaphor/2_magic.png,A balloon with a string hanging down.,,clear,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:03:09.266428+00:00
human__P006_week1_4,participant,P006,5ece74b876016723f3aa9b13,draw-ai-many,desire,week1,4,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/5ece74b876016723f3aa9b13/metaphor/4_desire.png,A heart symbol.,,clear,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:03:09.995298+00:00
human__P011_week1_0,participant,P011,5efd2d68e921d21715e2ad38,draw-ai-fewer,portal,week1,0,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/5efd2d68e921d21715e2ad38/metaphor/0_portal.png,A person stands beside a large arched tunnel or doorway with a spiral pattern inside it.,,clear,gpt-5.4-mini-2026-03-17,True,2000,2000,,2026-08-19T20:03:11.572337+00:00
human__P011_week1_1,participant,P011,5efd2d68e921d21715e2ad38,draw-ai-fewer,abyss,week1,1,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/5efd2d68e921d21715e2ad38/metaphor/1_abyss.png,A deep canyon or ravine with steep rocky sides and a circular whirlpool or sinkhole at the bottom.,,uncertain,gpt-5.4-mini-2026-03-17,True,1500,1500,,2026-08-19T20:03:12.621680+00:00
human__P011_week1_2,participant,P011,5efd2d68e921d21715e2ad38,draw-ai-fewer,darkness,week1,2,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/5efd2d68e921d21715e2ad38/metaphor/2_darkness.png,A floor lamp stands beside a large rectangular television or framed screen.,,uncertain,gpt-5.4-mini-2026-03-17,True,1000,1000,,2026-08-19T20:03:13.679154+00:00
human__P011_week1_4,participant,P011,5efd2d68e921d21715e2ad38,draw-ai-fewer,aversion,week1,4,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/5efd2d68e921d21715e2ad38/metaphor/4_aversion.png,A person with an angry face reaches toward a three-tiered pile or stack of rounded objects on the right.,,uncertain,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:03:14.835554+00:00
human__P011_week1_5,participant,P011,5efd2d68e921d21715e2ad38,draw-ai-fewer,competition,week1,5,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/5efd2d68e921d21715e2ad38/metaphor/5_competition.png,"A race track with a finish flag at the top left and two small cars on the course, one near the top right and one near the lower left.",FINISH|1|2,clear,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:03:16.345084+00:00
human__P011_week1_6,participant,P011,5efd2d68e921d21715e2ad38,draw-ai-fewer,desire,week1,6,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/5efd2d68e921d21715e2ad38/metaphor/6_desire.png,A smiling face with two large eyes and a mouth with two fangs faces a slice of pizza with several round toppings.,,clear,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:03:17.472803+00:00
human__P013_week1_0,participant,P013,5f3bea0ce3bf58978b8978a6,draw-no-ai,competition,week1,0,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/5f3bea0ce3bf58978b8978a6/metaphor/0_competition.png,"Three medal-winning people stand on a winners’ podium, with the center person on the highest step, the left person on the second-place step, and the right person on the third-place step, each raising an arm.",1|2|3,clear,gpt-5.4-mini-2026-03-17,True,2000,2000,,2026-08-19T20:03:18.474054+00:00
human__P013_week1_1,participant,P013,5f3bea0ce3bf58978b8978a6,draw-no-ai,abyss,week1,1,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/5f3bea0ce3bf58978b8978a6/metaphor/1_abyss.png,A person stands with arms and legs spread wide in a star shape.,,clear,gpt-5.4-mini-2026-03-17,True,2000,2000,,2026-08-19T20:03:20.745044+00:00
human__P013_week1_2,participant,P013,5f3bea0ce3bf58978b8978a6,draw-no-ai,accident,week1,2,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/5f3bea0ce3bf58978b8978a6/metaphor/2_accident.png,A car is driving past a person standing nearby with motion lines around both.,,uncertain,gpt-5.4-mini-2026-03-17,True,2000,2000,,2026-08-19T20:03:21.624047+00:00
human__P013_week1_3,participant,P013,5f3bea0ce3bf58978b8978a6,draw-no-ai,vision,week1,3,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/5f3bea0ce3bf58978b8978a6/metaphor/3_vision.png,A surprised person with spiky hair and wide eyes looks toward a lit light bulb above their head.,,clear,gpt-5.4-mini-2026-03-17,True,2000,2000,,2026-08-19T20:03:22.580975+00:00
human__P014_week1_1,participant,P014,6129dca465e41b5ae1b262da,draw-no-ai,contamination,week1,1,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/6129dca465e41b5ae1b262da/metaphor/0_contamination.png,A hand with four raised fingers and a thumb extended to the side.,,clear,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:05:01.822108+00:00
human__P014_week1_2,participant,P014,6129dca465e41b5ae1b262da,draw-no-ai,protection,week1,2,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/6129dca465e41b5ae1b262da/metaphor/1_protection.png,A bell sits on a base.,,clear,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:05:02.722602+00:00
human__P014_week1_3,participant,P014,6129dca465e41b5ae1b262da,draw-no-ai,servant,week1,3,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/6129dca465e41b5ae1b262da/metaphor/2_servant.png,A smiling stick figure stands with outstretched arms and legs.,,clear,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:05:03.803046+00:00
human__P014_week1_4,participant,P014,6129dca465e41b5ae1b262da,draw-no-ai,business,week1,4,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/6129dca465e41b5ae1b262da/metaphor/3_business.png,A building facade with multiple rectangular windows arranged in rows.,,clear,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:05:04.814777+00:00
human__P014_week1_5,participant,P014,6129dca465e41b5ae1b262da,draw-no-ai,energy,week1,5,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/6129dca465e41b5ae1b262da/metaphor/4_energy.png,A paper airplane is flying upward to the right.,,clear,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:05:05.709968+00:00
human__P014_week1_7,participant,P014,6129dca465e41b5ae1b262da,draw-no-ai,portal,week1,7,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/6129dca465e41b5ae1b262da/metaphor/6_portal.png,A large round target with concentric rings and radial lines is drawn on a rectangular board or wall.,,clear,gpt-5.4-mini-2026-03-17,True,2000,2000,,2026-08-19T20:05:06.712641+00:00
human__P015_week1_1,participant,P015,612aad0cb69fa8ecd2f6edd8,draw-ai-many,portal,week1,1,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/612aad0cb69fa8ecd2f6edd8/metaphor/0_portal.png,A rectangular doorway or opening stands on a curved ground line with a crack or path running downward from its center.,,uncertain,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:05:09.007518+00:00
human__P015_week1_2,participant,P015,612aad0cb69fa8ecd2f6edd8,draw-ai-many,business,week1,2,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/612aad0cb69fa8ecd2f6edd8/metaphor/1_business.png,A seesaw with three people riding on the raised right end and a dollar sign near the left side.,,clear,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:05:10.054140+00:00
human__P015_week1_3,participant,P015,612aad0cb69fa8ecd2f6edd8,draw-ai-many,struggle,week1,3,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/612aad0cb69fa8ecd2f6edd8/metaphor/2_struggle.png,A person reaches out and holds a large tangled ball of string or scribbled yarn.,,clear,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:05:11.102879+00:00
human__P015_week1_5,participant,P015,612aad0cb69fa8ecd2f6edd8,draw-ai-many,abyss,week1,5,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/612aad0cb69fa8ecd2f6edd8/metaphor/4_abyss.png,"A spiral of curved lines surrounds a small dark center, resembling a whirlpool or vortex.",,uncertain,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:05:12.011938+00:00
human__P016_week1_0,participant,P016,615ebee41627a65c85ccb4b6,draw-anti-ai,competition,week1,0,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/615ebee41627a65c85ccb4b6/metaphor/0_competition.png,A mountain range rises above a body of water with wavy ripples in the foreground.,,clear,gpt-5.4-mini-2026-03-17,True,2000,2000,,2026-08-19T20:05:28.523052+00:00
human__P016_week1_1,participant,P016,615ebee41627a65c85ccb4b6,draw-anti-ai,struggle,week1,1,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/615ebee41627a65c85ccb4b6/metaphor/1_struggle.png,A person rides a surfboard down a wave toward the shore with the sun overhead.,,clear,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:05:29.694831+00:00
human__P017_week1_0,participant,P017,616033a44ba802b7e18daaa9,draw-no-ai,protection,week1,0,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/616033a44ba802b7e18daaa9/metaphor/0_protection.png,"A shield with a check mark inside and the word ""Protect"" written above it.",Protect,clear,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:05:30.601938+00:00
human__P017_week1_1,participant,P017,616033a44ba802b7e18daaa9,draw-no-ai,business,week1,1,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/616033a44ba802b7e18daaa9/metaphor/1_business.png,"A large rectangular building stands beside a light bulb, with the words ""2024"" and ""we deliver"" written below.",2024|we deliver,uncertain,gpt-5.4-mini-2026-03-17,True,2000,2000,,2026-08-19T20:05:31.620883+00:00
human__P017_week1_2,participant,P017,616033a44ba802b7e18daaa9,draw-no-ai,servant,week1,2,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/616033a44ba802b7e18daaa9/metaphor/2_servant.png,"Three stick figures stand above a large open container or box, with one stick figure inside it.",,clear,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:05:32.792799+00:00
human__P017_week1_4,participant,P017,616033a44ba802b7e18daaa9,draw-no-ai,portal,week1,4,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/616033a44ba802b7e18daaa9/metaphor/4_portal.png,A person stands on a large oval platform or rock with arms outstretched amid several surrounding streaks or lines.,,uncertain,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:05:33.813822+00:00
human__P017_week1_5,participant,P017,616033a44ba802b7e18daaa9,draw-no-ai,aversion,week1,5,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/616033a44ba802b7e18daaa9/metaphor/5_aversion.png,A sad-faced person stands beside a crossed-out smiley face symbol.,,clear,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:05:34.959152+00:00
human__P017_week1_6,participant,P017,616033a44ba802b7e18daaa9,draw-no-ai,energy,week1,6,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/616033a44ba802b7e18daaa9/metaphor/6_energy.png,No recognizable object or scene; only a blank white field.,,none,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:05:35.754650+00:00
human__P020_week1_0,participant,P020,65f650bc80653ddbcb45e6a5,draw-no-ai,aversion,week1,0,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/65f650bc80653ddbcb45e6a5/metaphor/0_aversion.png,"Two long rectangular bar magnets are shown side by side with opposite poles facing each other, labeled N and S at their ends.",N|S|S|N,clear,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:06:03.606339+00:00
human__P020_week1_1,participant,P020,65f650bc80653ddbcb45e6a5,draw-no-ai,servant,week1,1,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/65f650bc80653ddbcb45e6a5/metaphor/1_servant.png,A steaming cup sits on a saucer with a spoon or stirrer beside it.,,clear,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:06:04.779907+00:00
human__P020_week1_2,participant,P020,65f650bc80653ddbcb45e6a5,draw-no-ai,abyss,week1,2,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/65f650bc80653ddbcb45e6a5/metaphor/2_abyss.png,A jellyfish floats in the water near the lower right while several fish swim around it.,,uncertain,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:06:05.817826+00:00
human__P020_week1_3,participant,P020,65f650bc80653ddbcb45e6a5,draw-no-ai,business,week1,3,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/65f650bc80653ddbcb45e6a5/metaphor/3_business.png,Two people stand facing each other and shake hands.,,clear,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:06:06.677345+00:00
human__P020_week1_6,participant,P020,65f650bc80653ddbcb45e6a5,draw-no-ai,energy,week1,6,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/65f650bc80653ddbcb45e6a5/metaphor/6_energy.png,A person holds a handgun pointed to the right.,,uncertain,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:06:08.058907+00:00
human__P021_week1_1,participant,P021,6666a596046b0de2fab51dd7,draw-ai-fewer,accident,week1,1,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/6666a596046b0de2fab51dd7/metaphor/0_accident.png,A stick figure is running or stumbling with arms raised while one foot is caught in a banana peel on the ground.,,clear,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:06:44.319722+00:00
human__P021_week1_2,participant,P021,6666a596046b0de2fab51dd7,draw-ai-fewer,competition,week1,2,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/6666a596046b0de2fab51dd7/metaphor/1_competition.png,A stick figure stands on a track holding up a trophy or prize while three other stick figures run in lanes below.,,clear,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:06:45.875001+00:00
human__P021_week1_3,participant,P021,6666a596046b0de2fab51dd7,draw-ai-fewer,desire,week1,3,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/6666a596046b0de2fab51dd7/metaphor/2_desire.png,A stick figure on the left holds a long hose or tube connected to a container or bag held by a person on the right.,,uncertain,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:06:47.059833+00:00
human__P021_week1_4,participant,P021,6666a596046b0de2fab51dd7,draw-ai-fewer,servant,week1,4,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/6666a596046b0de2fab51dd7/metaphor/3_servant.png,A person sits on a chair with one leg crossed over the other and a smiling face above the torso.,,clear,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:06:48.195149+00:00
human__P021_week1_5,participant,P021,6666a596046b0de2fab51dd7,draw-ai-fewer,aversion,week1,5,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/6666a596046b0de2fab51dd7/metaphor/4_aversion.png,"A person stands among several spiders, holding their hands up to their face in fear.",,clear,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:06:49.194099+00:00
human__P021_week1_7,participant,P021,6666a596046b0de2fab51dd7,draw-ai-fewer,vision,week1,7,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/6666a596046b0de2fab51dd7/metaphor/6_vision.png,A human eye with a person reflected in the pupil.,,clear,gpt-5.4-mini-2026-03-17,True,2000,2000,,2026-08-19T20:06:50.019549+00:00
human__P022_week1_0,participant,P022,666d92377e3607bbf08ce90f,draw-no-ai,servant,week1,0,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/666d92377e3607bbf08ce90f/metaphor/0_servant.png,"A person stands on a boat beside a tall rectangular structure, holding onto it.",,uncertain,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:06:51.080632+00:00
human__P022_week1_1,participant,P022,666d92377e3607bbf08ce90f,draw-no-ai,contamination,week1,1,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/666d92377e3607bbf08ce90f/metaphor/1_contamination.png,A jar or container with a lid and a small dark latch or handle on the front.,,clear,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:06:52.114150+00:00
human__P022_week1_2,participant,P022,666d92377e3607bbf08ce90f,draw-no-ai,protection,week1,2,/Users/fm/Documents/Github/figcreativity/scripts/data/week1/images/666d92377e3607bbf08ce90f/metaphor/2_protection.png,A heart shape is drawn next to a tall vertical shape with a small protruding knob.,,uncertain,gpt-5.4-mini-2026-03-17,True,2880,2880,,2026-08-19T20:06:53.210116+00:00
